date,ot_book,ot_chapter,nt_book,nt_chapter,psalm_book,psalm_chapter
2025-02-18,,,,,Psalm,110
2025-02-19,Leviticus,9,,,,
2025-02-19,Leviticus,10,,,,
2025-02-19,,,Luke,6,,
2025-02-19,,,,,Psalm,110
2025-02-20,Leviticus,11,,,,
2025-02-20,Leviticus,12,,,,
2025-02-20,,,Luke,7,,
2025-02-20,,,,,Psalm,110
2025-02-21,Leviticus,13,,,,
2025-02-21,Leviticus,14,,,,
2025-02-21,,,Luke,8,,
2025-02-21,,,,,Psalm,111
2025-02-22,Leviticus,15,,,,
2025-02-22,Leviticus,16,,,,
2025-02-22,,,Luke,9,,
2025-02-22,,,,,Psalm,31
2025-02-23,Leviticus,17,,,,
2025-02-23,Leviticus,18,,,,
2025-02-23,,,Luke,10,,
2025-02-23,,,,,Psalm,31
2025-02-24,Leviticus,19,,,,
2025-02-24,Leviticus,20,,,,
2025-02-24,,,Luke,11,,
2025-02-25,Leviticus,21,,,,
2025-02-25,Leviticus,22,,,,
2025-02-25,,,Luke,12,,
2025-02-26,Leviticus,23,,,,
2025-02-26,Leviticus,24,,,,
2025-02-26,,,Luke,13,,
2025-02-26,,,,,Psalm,81
2025-02-27,Leviticus,25,,,,
2025-02-27,Leviticus,26,,,,
2025-02-27,,,Luke,14,,
2025-02-27,,,,,Psalm,81
2025-02-28,Leviticus,27,,,,
2025-02-28,Numbers,1,,,,
2025-02-28,,,Luke,15,,
2025-02-28,,,,,Psalm,112
2025-03-01,Numbers,2,,,,
2025-03-01,Numbers,3,,,,
2025-03-01,,,Luke,16,,
2025-03-01,,,,,Psalm,64
2025-03-02,Numbers,4,,,,
2025-03-02,Numbers,5,,,,
2025-03-02,,,Luke,17,,
2025-03-03,Numbers,6,,,,
2025-03-03,Numbers,7,,,,
2025-03-03,,,Luke,18,,
2025-03-04,Numbers,8,,,,
2025-03-04,Numbers,9,,,,
2025-03-04,,,Luke,19,,
2025-03-05,Numbers,10,,,,
2025-03-05,Numbers,11,,,,
2025-03-05,,,Luke,20,,
2025-03-06,Numbers,12,,,,
2025-03-06,Numbers,13,,,,
2025-03-06,,,Luke,21,,
2025-03-06,,,,,Psalm,28
2025-03-07,Numbers,14,,,,
2025-03-07,Numbers,15,,,,
2025-03-07,,,Luke,22,,
2025-03-07,,,,,Psalm,28
2025-03-08,Numbers,16,,,,
2025-03-08,Numbers,17,,,,
2025-03-08,,,Luke,23,,
2025-03-08,,,,,Psalm,113
2025-03-09,Numbers,18,,,,
2025-03-09,Numbers,19,,,,
2025-03-09,,,Luke,24,,
2025-03-09,,,,,Psalm,113
2025-03-10,Numbers,20,,,,
2025-03-10,Numbers,21,,,,
2025-03-10,,,John,1,,
2025-03-11,Numbers,22,,,,
2025-03-11,Numbers,23,,,,
2025-03-11,,,John,2,,
2025-03-12,Numbers,24,,,,
2025-03-12,Numbers,25,,,,
2025-03-12,,,John,3,,
2025-03-13,Numbers,26,,,,
2025-03-13,Numbers,27,,,,
2025-03-13,,,John,4,,
2025-03-14,Numbers,28,,,,
2025-03-14,Numbers,29,,,,
2025-03-14,,,John,5,,
2025-03-15,Numbers,30,,,,
2025-03-15,Numbers,31,,,,
2025-03-15,,,John,6,,
2025-03-15,,,,,Psalm,35
2025-03-16,Numbers,32,,,,
2025-03-16,Numbers,33,,,,
2025-03-16,,,John,7,,
2025-03-16,,,,,Psalm,35
2025-03-17,Numbers,34,,,,
2025-03-17,Numbers,35,,,,
2025-03-17,,,John,8,,
2025-03-18,Numbers,36,,,,
2025-03-18,Deuteronomy,1,,,,
2025-03-18,,,John,9,,
2025-03-18,,,,,Psalm,36
2025-03-19,Deuteronomy,2,,,,
2025-03-19,Deuteronomy,3,,,,
2025-03-19,,,John,10,,
2025-03-19,,,,,Psalm,36
2025-03-20,Deuteronomy,4,,,,
2025-03-20,Deuteronomy,5,,,,
2025-03-20,,,John,11,,
2025-03-21,Deuteronomy,6,,,,
2025-03-21,Deuteronomy,7,,,,
2025-03-21,,,John,12,,
2025-03-22,Deuteronomy,8,,,,
2025-03-22,Deuteronomy,9,,,,
2025-03-22,,,John,13,,
2025-03-23,Deuteronomy,10,,,,
2025-03-23,Deuteronomy,11,,,,
2025-03-23,,,John,14,,
2025-03-23,,,,,Psalm,5
2025-03-24,Deuteronomy,12,,,,
2025-03-24,Deuteronomy,13,,,,
2025-03-24,,,John,15,,
2025-03-24,,,,,Psalm,5
2025-03-25,Deuteronomy,14,,,,
2025-03-25,Deuteronomy,15,,,,
2025-03-25,,,John,16,,
2025-03-25,,,,,Psalm,115
2025-03-26,Deuteronomy,16,,,,
2025-03-26,Deuteronomy,17,,,,
2025-03-26,,,John,17,,
2025-03-26,,,,,Psalm,115
2025-03-27,Deuteronomy,18,,,,
2025-03-27,Deuteronomy,19,,,,
2025-03-27,,,John,18,,
2025-03-27,,,,,Psalm,115
2025-03-28,Deuteronomy,20,,,,
2025-03-28,Deuteronomy,21,,,,
2025-03-28,,,John,19,,
2025-03-28,,,,,Psalm,6
2025-03-29,Deuteronomy,22,,,,
2025-03-29,Deuteronomy,23,,,,
2025-03-29,,,John,20,,
2025-03-29,,,,,Psalm,6
2025-03-30,Deuteronomy,24,,,,
2025-03-30,Deuteronomy,25,,,,
2025-03-30,,,John,21,,
2025-03-31,Deuteronomy,26,,,,
2025-03-31,Deuteronomy,27,,,,
2025-03-31,,,Acts,1,,
2025-04-03,Deuteronomy,32,,,,
2025-04-03,Deuteronomy,33,,,,
2025-04-03,,,Acts,4,,
2025-04-03,,,,,Psalm,13
2025-04-04,Deuteronomy,34,,,,
2025-04-04,Joshua,1,,,,
2025-04-04,,,Acts,5,,
2025-04-04,,,,,Psalm,13
2025-04-05,Joshua,2,,,,
2025-04-05,Joshua,3,,,,
2025-04-05,,,Acts,6,,
2025-04-05,,,,,Psalm,143
2025-04-06,Joshua,4,,,,
2025-04-06,Joshua,5,,,,
2025-04-06,,,Acts,7,,
2025-04-06,,,,,Psalm,143
2025-04-07,Joshua,6,,,,
2025-04-07,Joshua,7,,,,
2025-04-07,,,Acts,8,,
2025-04-07,,,,,Psalm,14
2025-04-08,Joshua,8,,,,
2025-04-08,Joshua,9,,,,
2025-04-08,,,Acts,9,,
2025-04-09,Joshua,10,,,,
2025-04-09,Joshua,11,,,,
2025-04-09,,,Acts,10,,
2025-04-10,Joshua,12,,,,
2025-04-10,Joshua,13,,,,
2025-04-10,,,Acts,11,,
2025-04-11,Joshua,14,,,,
2025-04-11,Joshua,15,,,,
2025-04-11,,,Acts,12,,
2025-04-12,Joshua,16,,,,
2025-04-12,Joshua,17,,,,
2025-04-12,,,Acts,13,,
2025-04-13,Joshua,18,,,,
2025-04-13,Joshua,19,,,,
2025-04-13,,,Acts,14,,
