date,old_testament,new_testament,psalm
4/17/25,"Judges 2, Judges 3",Acts 18,16
4/18/25,"Judges 4, Judges 5",Acts 19,
4/19/25,"Judges 6, Judges 7",Acts 20,
4/20/25,"Judges 8, Judges 9",Acts 21,17
4/21/25,"Judges 10, Judges 11",Acts 22,17
4/22/25,"Judges 12, Judges 13",Acts 23,146
4/23/25,"Judges 14, Judges 15",Acts 24,146
4/24/25,"Judges 16, Judges 17",Acts 25,146/21
4/25/25,"Judges 18, Judges 19",Acts 26,21
4/26/25,"Judges 20, Judges 21",Acts 27,
4/27/25,"Ruth 1, Ruth 2",Acts 28,
4/28/25,"Ruth 3, Ruth 4",Romans 1,37
4/29/25,"1 Samuel 1, 1 Samuel 2",Romans 2,120
4/30/25,"1 Samuel 3, 1 Samuel 4",Romans 3,23
5/1/25,"1 Samuel 5, 1 Samuel 6",Romans 4,23
5/2/25,"1 Samuel 7, 1 Samuel 8",Romans 5,
5/3/25,"1 Samuel 9, 1 Samuel 10",Romans 6,
5/4/25,"1 Samuel 11, 1 Samuel 12",Romans 7,38
5/5/25,"1 Samuel 13, 1 Samuel 14",Romans 8,38/124
5/6/25,"1 Samuel 15, 1 Samuel 16",Romans 9,39
5/7/25,"1 Samuel 17, 1 Samuel 18",Romans 10,59
5/8/25,"1 Samuel 19, 1 Samuel 20",Romans 11,"59/56, 57, 142"
5/9/25,"1 Samuel 21, 1 Samuel 22",Romans 12,52
5/10/25,"1 Samuel 23, 1 Samuel 24",Romans 13,54
5/11/25,"1 Samuel 25, 1 Samuel 26",Romans 14,
5/12/25,"1 Samuel 27, 1 Samuel 28",Romans 15,
5/13/25,"1 Samuel 29, 1 Samuel 30",Romans 16,
5/14/25,"1 Samuel 31, 2 Samuel 1",1 Corinthians 1,96/106
5/15/25,"2 Samuel 2, 2 Samuel 3",1 Corinthians 2,96/106
5/16/25,"2 Samuel 4, 2 Samuel 5",1 Corinthians 3,122
5/17/25,"2 Samuel 6, 2 Samuel 7",1 Corinthians 4,60/132
5/18/25,"2 Samuel 8, 2 Samuel 9",1 Corinthians 5,132/89
5/19/25,"2 Samuel 10, 2 Samuel 11",1 Corinthians 6,"89/51, 32"
5/20/25,"2 Samuel 12, 2 Samuel 13",1 Corinthians 7,"51, 32"
5/21/25,"2 Samuel 14, 2 Samuel 15",1 Corinthians 8,"3, 63"
5/22/25,"2 Samuel 16, 2 Samuel 17",1 Corinthians 9,"3, 63"
5/23/25,"2 Samuel 18, 2 Samuel 19",1 Corinthians 10,34
5/24/25,"2 Samuel 20, 2 Samuel 21",1 Corinthians 11,34/18
5/25/25,"2 Samuel 22, 2 Samuel 23",1 Corinthians 12,18
5/26/25,"2 Samuel 24, 1 Kings 1",1 Corinthians 13,
5/27/25,"1 Kings 2, 1 Kings 3",1 Corinthians 14,42
5/28/25,"1 Kings 4, 1 Kings 5",1 Corinthians 15,43
5/29/25,"1 Kings 6, 1 Kings 7",1 Corinthians 16,44
5/30/25,"1 Kings 8, 1 Kings 9",2 Corinthians 1,30
5/31/25,"1 Kings 10, 1 Kings 11",2 Corinthians 2,
6/1/25,"1 Kings 12, 1 Kings 13",2 Corinthians 3,47
6/2/25,"1 Kings 14, 1 Kings 15",2 Corinthians 4,47
6/3/25,"1 Kings 16, 1 Kings 17",2 Corinthians 5,119
6/4/25,"1 Kings 18, 1 Kings 19",2 Corinthians 6,119/129
6/5/25,"1 Kings 20, 1 Kings 21",2 Corinthians 7,129
6/6/25,"1 Kings 22, 2 Kings 1",2 Corinthians 8,20
6/7/25,"2 Kings 2, 2 Kings 3",2 Corinthians 9,48
6/8/25,"2 Kings 4, 2 Kings 5",2 Corinthians 10,
6/9/25,"2 Kings 6, 2 Kings 7",2 Corinthians 11,
6/10/25,"2 Kings 8, 2 Kings 9",2 Corinthians 12,49
